,날짜,역명,합 계_승차,합 계_하차
0,2015-01-01,디지털미디어시티,5567.0,6075.0
1,2015-01-01,양천구청,2723.0,3022.0
2,2015-01-01,올림픽공원,1990.0,1732.0
3,2015-01-01,종합운동장,6703.0,6036.0
4,2015-01-02,디지털미디어시티,15487.0,16353.0
5,2015-01-02,양천구청,7143.0,7490.0
6,2015-01-02,올림픽공원,4810.0,4505.0
7,2015-01-02,종합운동장,10528.0,10855.0
8,2015-01-03,디지털미디어시티,9981.0,10153.0
9,2015-01-03,양천구청,5059.0,5298.0
10,2015-01-03,올림픽공원,3475.0,3255.0
11,2015-01-03,종합운동장,14783.0,15319.0
12,2015-01-04,디지털미디어시티,7341.0,7919.0
13,2015-01-04,양천구청,4018.0,4332.0
14,2015-01-04,올림픽공원,2787.0,2721.0
15,2015-01-04,종합운동장,8806.0,10139.0
16,2015-01-05,디지털미디어시티,18074.0,19700.0
17,2015-01-05,양천구청,8257.0,8749.0
18,2015-01-05,올림픽공원,5333.0,5015.0
19,2015-01-05,종합운동장,12735.0,13910.0
20,2015-01-06,디지털미디어시티,17663.0,19685.0
21,2015-01-06,양천구청,8153.0,8777.0
22,2015-01-06,올림픽공원,6137.0,5989.0
23,2015-01-06,종합운동장,12781.0,13139.0
24,2015-01-07,디지털미디어시티,17666.0,19527.0
25,2015-01-07,양천구청,8020.0,8562.0
26,2015-01-07,올림픽공원,5798.0,5400.0
27,2015-01-07,종합운동장,13132.0,13214.0
28,2015-01-08,디지털미디어시티,17881.0,19794.0
29,2015-01-08,양천구청,8105.0,8698.0
30,2015-01-08,올림픽공원,5554.0,5326.0
31,2015-01-08,종합운동장,12613.0,13150.0
32,2015-01-09,디지털미디어시티,18676.0,20052.0
33,2015-01-09,양천구청,8464.0,8897.0
34,2015-01-09,올림픽공원,5778.0,5215.0
35,2015-01-09,종합운동장,13294.0,13637.0
36,2015-01-10,디지털미디어시티,11501.0,11864.0
37,2015-01-10,양천구청,5829.0,6075.0
38,2015-01-10,올림픽공원,12593.0,12730.0
39,2015-01-10,종합운동장,12736.0,13319.0
40,2015-01-11,디지털미디어시티,7856.0,8416.0
41,2015-01-11,양천구청,4218.0,4643.0
42,2015-01-11,올림픽공원,2939.0,2836.0
43,2015-01-11,종합운동장,10840.0,11481.0
44,2015-01-12,디지털미디어시티,17885.0,19631.0
45,2015-01-12,양천구청,8101.0,8638.0
46,2015-01-12,올림픽공원,5267.0,4975.0
47,2015-01-12,종합운동장,13584.0,14256.0
48,2015-01-13,디지털미디어시티,17866.0,19777.0
49,2015-01-13,양천구청,8455.0,8997.0
50,2015-01-13,올림픽공원,5377.0,4982.0
51,2015-01-13,종합운동장,15267.0,15158.0
52,2015-01-14,디지털미디어시티,17931.0,19671.0
53,2015-01-14,양천구청,8315.0,8950.0
54,2015-01-14,올림픽공원,5585.0,5045.0
55,2015-01-14,종합운동장,14896.0,15399.0
56,2015-01-15,디지털미디어시티,17888.0,20035.0
57,2015-01-15,양천구청,8346.0,8822.0
58,2015-01-15,올림픽공원,5521.0,5122.0
59,2015-01-15,종합운동장,12951.0,12529.0
