,날짜,지점_x,강수량(mm),지점_y,평균기온(℃),최저기온(℃),최고기온(℃),연번,경기(행사) 일시,구 분,경기(행사) 종류,경기(행사) 내용,주 최, 관람인원(명) ,수입금(원),사용일수(일)
0,2015-02-17,108,0.5,108.0,1.9,0.5,4.1,1,2015-02-17,기타축구,ACL,ACL(vs하노이T&T FC),GS스포츠,6718.0,23835150.0,3
1,2015-03-04,108,,108.0,-2.1,-4.6,1.4,2,2015-03-04,기타축구,ACL,ACL(vs가시마앤틀러스),GS스포츠,5790.0,27579990.0,2
2,2015-03-14,108,,108.0,4.3,-1.2,11.6,3,2015-03-14,K리그,K리그 클래식,K리그 클래식(vs전북),GS스포츠,32516.0,53033020.0,1
3,2015-03-18,108,1.5,108.0,10.7,8.4,14.4,4,2015-03-18,기타축구,ACL,ACL(vs웨스턴시드니),GS스포츠,5645.0,26955470.0,2
4,2015-03-31,108,2.5,108.0,12.9,10.0,14.9,5,2015-03-31,국가대표,국가대표팀 친선경기,친선경기(vs뉴질랜드),대한축구협회,28574.0,152907970.0,3
5,2015-04-04,108,0.0,108.0,13.5,8.9,18.5,6,2015-04-04,K리그,K리그 클래식,K리그 클래식-4R(vs제주),GS스포츠,22155.0,44383420.0,1
6,2015-04-11,108,,108.0,13.5,6.7,20.7,44,2015-04-11,기타축구,시민개방 축구경기,시민개방 축구경기,유종인(이대영클럽),50.0,897000.0,1
7,2015-04-15,108,1.0,108.0,11.1,5.6,17.0,7,2015-04-15,K리그,K리그 클래식,K리그 클래식-6R(vs대전),GS스포츠,7186.0,32039255.0,1
8,2015-04-18,108,0.0,108.0,15.2,5.2,23.7,45,2015-04-18,기타축구,시민개방 축구경기,시민개방 축구경기,곰두리장애인축구단,350.0,0.0,1
9,2015-04-21,108,,108.0,14.0,7.7,20.9,8,2015-04-21,기타축구,ACL,ACL(vs광저우에버그란데),GS스포츠,17157.0,43892170.0,2
10,2015-04-25,108,,108.0,15.9,9.2,23.0,9,2015-04-25,일반행사,콘서트,토요일을 즐겨라,(주)월드쇼마켓,15246.0,103347060.0,6
11,2015-04-29,108,3.5,108.0,17.0,15.8,18.4,10,2015-04-29,기타축구,FA컵,FA컵(vs경주 한수원),GS스포츠,1570.0,7593370.0,1
12,2015-05-02,108,0.5,108.0,20.7,15.8,26.0,11,2015-05-02,K리그,K리그 클래식,K리그 클래식-9R(vs성남),GS스포츠,18441.0,41630820.0,1
13,2015-05-05,108,,108.0,14.2,8.3,19.9,46,2015-05-05,기타축구,시민개방 축구경기,시민개방 축구경기,조상호(서울시의원),60.0,897000.0,1
14,2015-05-09,108,,108.0,17.6,12.6,24.0,12,2015-05-09,일반행사,콘서트,청춘페스티벌,(주)마이크임팩트,17782.0,87806150.0,6
15,2015-05-16,108,,108.0,18.0,11.6,25.2,13,2015-05-16,K리그,K리그 클래식,K리그 클래식-11R(vs전남),GS스포츠,17819.0,41393340.0,1
16,2015-05-20,108,,108.0,16.3,10.6,21.9,14,2015-05-20,기타축구,ACL,ACL(vs감바 오사카),GS스포츠,10607.0,28167540.0,2
17,2015-05-23,108,,108.0,20.6,13.6,28.3,15,2015-05-23,일반행사,콘서트,2015 드림콘서트,한국연예제작자협회,43780.0,102612200.0,5
18,2015-05-31,108,,108.0,22.1,15.3,30.4,16,2015-05-31,K리그,K리그 클래식,K리그 클래식(vs울산),GS스포츠,18413.0,42976350.0,1
19,2015-06-03,108,,108.0,23.3,17.1,29.4,17,2015-06-03,K리그,K리그 클래식,K리그 클래식(vs인천),GS스포츠,5023.0,32334930.0,1
20,2015-06-06,108,,108.0,22.4,16.4,28.9,47,2015-06-06,기타축구,시민개방 축구경기,시민개방 축구경기,손원균(패밀리FC),40.0,897000.0,1
21,2015-06-13,108,0.5,108.0,24.7,20.1,30.9,18,2015-06-13,기타축구,한일국회의원 친선경기,한일국회의원 친선경기,국회사무처,150.0,3196090.0,1
