,날짜,구분,경기(행사)내용,관람인원(명),사용일수(일),시설명,강수량(mm),평균기온(℃),좌석수,좌석점유율,주말 여부,지역,인근_역,합계_승차,미세먼지(PM10).mean,초미세먼지(PM2.5).mean
23,2015-04-12,공공행사,제25회송파구청장기배드민턴대회,1000,1,핸드볼보조경기장,0.0,14.9,5003,19.99,Y,송파구,올림픽공원,6146,39.6,17.5
30,2015-04-25,일반행사,토요일을 즐겨라,15246,6,상암월드컵주경기장,0.0,15.9,11000,22.86,Y,마포구,디지털미디어시티,13492,65.8,28.7
43,2015-05-09,일반행사,청춘페스티벌,17782,6,상암월드컵주경기장,0.0,17.6,11000,26.66,Y,마포구,디지털미디어시티,12518,50.0,28.8
53,2015-05-23,일반행사,2015 드림콘서트,928,5,상암월드컵주경기장,0.0,20.6,1473,65.63,Y,마포구,디지털미디어시티,13131,33.6,19.8
66,2015-06-18,공공행사,2015 세계 간호사 대회,4000,3,KSPO DOME(체조경기장),3.0,24.8,15000,8.89,N,송파구,올림픽공원,5679,19.9,10.5
69,2015-06-21,공공행사,제27회 강동구청장기 생활체육 배드민턴대회,0,1,핸드볼경기장,0.0,22.4,6500,0.0,Y,송파구,올림픽공원,3213,19.4,9.9
73,2015-06-29,공공행사,민주평화통일자문회의 제17기 출범회의,10000,3,KSPO DOME(체조경기장),0.0,25.7,15000,22.22,N,송파구,올림픽공원,5577,25.5,12.1
97,2015-08-15,일반행사,815 국민대합창,741,12,상암월드컵주경기장,0.1,27.1,596,83.71,Y,마포구,디지털미디어시티,9703,78.9,59.3
117,2015-09-19,일반행사,토토즐 앵콜공연,7577,5,상암월드컵주경기장,0.0,22.3,6394,11.36,Y,마포구,디지털미디어시티,11818,31.4,18.9
125,2015-10-03,일반행사,어반애슬런 2015,2330,2,상암월드컵주경기장,0.0,19.2,7604,3.49,Y,마포구,디지털미디어시티,11696,29.2,18.5
126,2015-10-03,일반행사,그라운드 예식,200,1,상암월드컵주경기장,0.0,19.2,281,0.3,Y,마포구,디지털미디어시티,11696,29.2,18.5
132,2015-10-09,일반행사,ONE-K 콘서트,928,7,상암월드컵주경기장,0.0,16.2,1473,64.24,N,마포구,디지털미디어시티,10779,22.2,11.7
137,2015-10-16,일반행사,2015 기도대성회,1390,4,상암월드컵주경기장,0.0,17.5,4166,14.163333333333332,N,마포구,디지털미디어시티,7247,63.6,45.4
224,2016-04-10,공공행사,제20대 국회의원 선거 개표,670,5,KSPO DOME(체조경기장),0.0,13.4,15000,0.89,Y,송파구,올림픽공원,4082,125.8,60.2
225,2016-04-14,일반행사,mbc무한도전 게릴라 콘서트,14156,4,상암월드컵주경기장,0.0,12.4,15000,21.22,N,마포구,디지털미디어시티,6573,58.5,35.2
236,2016-05-01,공공행사,제26회 송파구청장기 생활체육 배드민턴대회,1000,1,핸드볼보조경기장,0.0,18.8,5003,19.99,Y,송파구,올림픽공원,6744,39.7,14.1
239,2016-05-01,일반행사,원불교 100주년 기념행사,928,8,상암월드컵주경기장,0.0,18.8,1473,73.9,Y,마포구,디지털미디어시티,8354,33.7,17.2
242,2016-05-04,순수예술공연,별이 빛나는 밤에,4777,12,올림픽홀,0.0,15.7,3000,13.27,N,송파구,올림픽공원,9788,53.5,12.9
