,날짜,구분,경기(행사)내용,관람인원(명),사용일수(일),시설명,강수량(mm),평균기온(℃),좌석수,좌석점유율,주말 여부,지역,인근_역,합계_승차,미세먼지(PM10).mean,초미세먼지(PM2.5).mean
0,2015-02-17,기타축구,ACL(vs하노이T&T FC),6718,3,상암월드컵주경기장,0.5,1.9,15000,10.07,N,마포구,디지털미디어시티,6797,76.3,38.8
1,2015-03-01,체육행사,2015.3월 핸드볼팀훈련,476,2,핸드볼보조경기장,0.0,2.4,5003,0.48,Y,송파구,올림픽공원,11657,160.0,48.7
2,2015-03-02,문화예술행사,EXO 2번째 단독콘서트,15896,2,KSPO DOME(체조경기장),0.0,3.9,15000,29.23,N,송파구,올림픽공원,6176,84.2,35.7
3,2015-03-04,기타축구,ACL(vs가시마앤틀러스),5790,2,상암월드컵주경기장,0.0,-2.1,15000,8.68,N,마포구,디지털미디어시티,4953,40.9,22.5
4,2015-03-06,문화예술행사,에드시런 첫 내한공연,3467,3,핸드볼경기장,0.0,2.9,6500,17.78,N,송파구,올림픽공원,6650,37.0,25.3
5,2015-03-12,문화예술행사,2015 홍경민의 어쿠스틱 톡서트 5,818,4,뮤즈라이브,0.0,2.1,237,86.29,N,송파구,올림픽공원,6482,33.2,13.1
6,2015-03-12,대중공연,쿨20주년기념콘서트 안녕들한가요 서울앵콜공연,1620,4,올림픽홀,0.0,2.1,3000,13.5,N,송파구,올림픽공원,6482,33.2,13.1
7,2015-03-14,K리그,K리그 클래식(vs전북),1226,1,상암월드컵주경기장,0.0,4.3,1473,48.75,Y,마포구,디지털미디어시티,12796,37.8,24.8
8,2015-03-14,문화예술행사,멜리아나 내한공연,919,1,우리금융아트홀,0.0,4.3,1184,77.62,Y,송파구,올림픽공원,8522,37.2,18.4
9,2015-03-16,문화예술행사,2015 신화 17주년 기념 콘서트,2943,8,KSPO DOME(체조경기장),0.0,9.8,15000,19.01,N,송파구,올림픽공원,6545,124.2,51.2
10,2015-03-18,기타축구,ACL(vs웨스턴시드니),5645,2,상암월드컵주경기장,1.5,10.7,15000,8.46,N,마포구,디지털미디어시티,5532,61.5,32.0
11,2015-03-20,대중공연,임시완 팬미팅(가제: 미생),2230,3,올림픽홀,0.0,13.4,3000,24.78,N,송파구,올림픽공원,7040,105.2,38.1
12,2015-03-23,문화예술행사,2015 VIXX 콘서트,17467,8,KSPO DOME(체조경기장),0.0,4.6,15000,14.56,N,송파구,올림픽공원,6431,61.7,23.2
13,2015-03-26,체육행사,SK텔레콤 국제그랑프리펜싱대회,800,5,핸드볼경기장,0.0,7.9,6500,2.46,N,송파구,올림픽공원,6649,47.2,19.7
14,2015-03-29,대중공연,미쓰에이(miss A) 쇼케이스,350,2,K-아트홀,0.0,10.5,369,47.43,Y,송파구,올림픽공원,12845,95.6,33.4
15,2015-03-31,국가대표,친선경기(vs뉴질랜드),1990,3,상암월드컵주경기장,2.5,12.9,1473,42.84,N,마포구,디지털미디어시티,6974,108.5,51.2
16,2015-04-01,문화예술행사,그라미 서커스쇼,10971,5,K-아트홀,2.5,12.9,369,74.33,N,송파구,올림픽공원,6665,13.1,6.5
17,2015-04-01,체육행사,2015년 4월 핸드볼팀 훈련,321,13,핸드볼보조경기장,2.5,12.9,5003,0.49,N,송파구,올림픽공원,6665,13.1,6.5
18,2015-04-04,K리그,K리그 클래식-4R(vs제주),16547,1,상암월드컵주경기장,0.0,13.5,16813,33.21,Y,마포구,디지털미디어시티,11774,19.2,8.7
19,2015-04-05,대중공연,TOP FC 6,890,1,올림픽홀,0.5,10.5,3000,29.67,Y,송파구,올림픽공원,3766,13.2,7.7
20,2015-04-07,대중공연,핑크마티니 내한공연,1790,2,올림픽홀,0.0,8.4,3000,29.83,N,송파구,올림픽공원,7058,26.1,11.2
21,2015-04-10,대중공연,SGC콘서트,4730,3,올림픽홀,0.0,11.6,3000,52.56,N,송파구,올림픽공원,7459,52.9,23.4
22,2015-04-11,기타축구,시민개방 축구경기,50,1,상암월드컵주경기장,0.0,13.5,11287,0.07,Y,마포구,디지털미디어시티,13094,72.2,40.8
23,2015-04-12,공공행사,제25회송파구청장기배드민턴대회,1000,1,핸드볼보조경기장,0.0,14.9,5003,19.99,Y,송파구,올림픽공원,6146,39.6,17.5
24,2015-04-15,K리그,K리그 클래식-6R(vs대전),7186,1,상암월드컵주경기장,1.0,11.1,15000,10.77,N,마포구,디지털미디어시티,6573,71.2,38.1
25,2015-04-18,기타축구,시민개방 축구경기,350,1,상암월드컵주경기장,0.0,15.2,325,0.52,Y,마포구,디지털미디어시티,12698,53.1,30.1
26,2015-04-19,대중공연,피아노가이즈 첫 내한공연,1996,3,올림픽홀,12.0,14.5,3000,22.18,Y,송파구,올림픽공원,5834,19.2,8.3
27,2015-04-19,문화예술행사,힐송워십내한공연,6883,1,KSPO DOME(체조경기장),12.0,14.5,15000,45.89,Y,송파구,올림픽공원,5834,19.2,8.3
28,2015-04-20,문화예술행사,2015 빅뱅 콘서트,11626,8,KSPO DOME(체조경기장),5.5,12.2,15000,23.03,N,송파구,올림픽공원,6950,18.2,8.2
29,2015-04-21,기타축구,ACL(vs광저우에버그란데),17157,2,상암월드컵주경기장,0.0,14.0,15000,25.72,N,마포구,디지털미디어시티,7256,52.4,27.4
30,2015-04-25,일반행사,토요일을 즐겨라,15246,6,상암월드컵주경기장,0.0,15.9,11000,22.86,Y,마포구,디지털미디어시티,13492,65.8,28.7
31,2015-04-25,체육행사,제12회 회장배 댄스스포츠 선수권대회,974,2,핸드볼경기장,0.0,15.9,6500,7.49,Y,송파구,올림픽공원,8355,56.7,29.3
32,2015-04-28,문화예술행사,청년평화페스티벌,11920,7,KSPO DOME(체조경기장),0.0,20.3,15000,11.35,N,송파구,올림픽공원,7558,44.3,23.3
33,2015-04-29,기타축구,FA컵(vs경주 한수원),1570,1,상암월드컵주경기장,3.5,17.0,11604,2.35,N,마포구,디지털미디어시티,7482,28.9,19.9
34,2015-05-01,대중공연,이준기 팬미팅,800,2,우리금융아트홀,0.0,21.0,1184,33.78,N,송파구,올림픽공원,7826,37.5,18.8
35,2015-05-01,체육행사,2015년 5월 핸드볼팀훈련,286,12,핸드볼보조경기장,0.0,21.0,5003,0.48,N,송파구,올림픽공원,7826,37.5,18.8
36,2015-05-02,K리그,K리그 클래식-9R(vs성남),18441,1,상암월드컵주경기장,0.5,20.7,11000,27.65,Y,마포구,디지털미디어시티,11345,42.0,28.8
37,2015-05-05,기타축구,시민개방 축구경기,60,1,상암월드컵주경기장,0.0,14.2,5158,0.09,N,마포구,디지털미디어시티,9182,39.2,14.5
38,2015-05-05,체육행사,제4회 일요신문배 전국어린이 바둑대회,1200,1,핸드볼경기장,0.0,14.2,6500,18.46,N,송파구,올림픽공원,9706,38.7,14.8
39,2015-05-06,체육행사,2015 서울세계시각장애인경기대회,370,12,핸드볼보조경기장,0.0,15.4,5003,0.62,N,송파구,올림픽공원,7104,48.2,20.3
40,2015-05-06,문화예술행사,러쉬 냄새나는 콘서트 4,7121,5,KSPO DOME(체조경기장),0.0,15.4,15000,9.49,N,송파구,올림픽공원,7104,48.2,20.3
41,2015-05-07,대중공연,오승근 효 콘서트 -내 나이가 어때서-,2170,2,올림픽홀,0.0,16.5,3000,36.17,N,송파구,올림픽공원,7206,45.3,19.0
42,2015-05-09,대중공연,남진 50주년 대공연  “감사합니다” - 서울,3760,2,올림픽홀,0.0,17.6,3000,62.67,Y,송파구,올림픽공원,9245,49.8,22.3
