,날짜,역명,합 계_승차,합 계_하차
0,2015-01-01,디지털미디어시티,5567.0,6075.0
1,2015-01-01,올림픽공원,1990.0,1732.0
2,2015-01-02,디지털미디어시티,15487.0,16353.0
3,2015-01-02,올림픽공원,4810.0,4505.0
4,2015-01-03,디지털미디어시티,9981.0,10153.0
5,2015-01-03,올림픽공원,3475.0,3255.0
6,2015-01-04,디지털미디어시티,7341.0,7919.0
7,2015-01-04,올림픽공원,2787.0,2721.0
8,2015-01-05,디지털미디어시티,18074.0,19700.0
9,2015-01-05,올림픽공원,5333.0,5015.0
10,2015-01-06,디지털미디어시티,17663.0,19685.0
11,2015-01-06,올림픽공원,6137.0,5989.0
12,2015-01-07,디지털미디어시티,17666.0,19527.0
13,2015-01-07,올림픽공원,5798.0,5400.0
14,2015-01-08,디지털미디어시티,17881.0,19794.0
15,2015-01-08,올림픽공원,5554.0,5326.0
16,2015-01-09,디지털미디어시티,18676.0,20052.0
17,2015-01-09,올림픽공원,5778.0,5215.0
18,2015-01-10,디지털미디어시티,11501.0,11864.0
19,2015-01-10,올림픽공원,12593.0,12730.0
20,2015-01-11,디지털미디어시티,7856.0,8416.0
21,2015-01-11,올림픽공원,2939.0,2836.0
22,2015-01-12,디지털미디어시티,17885.0,19631.0
23,2015-01-12,올림픽공원,5267.0,4975.0
24,2015-01-13,디지털미디어시티,17866.0,19777.0
25,2015-01-13,올림픽공원,5377.0,4982.0
26,2015-01-14,디지털미디어시티,17931.0,19671.0
27,2015-01-14,올림픽공원,5585.0,5045.0
28,2015-01-15,디지털미디어시티,17888.0,20035.0
29,2015-01-15,올림픽공원,5521.0,5122.0
30,2015-01-16,디지털미디어시티,18129.0,19743.0
31,2015-01-16,올림픽공원,5599.0,4980.0
32,2015-01-17,디지털미디어시티,11282.0,11735.0
33,2015-01-17,올림픽공원,8488.0,9350.0
34,2015-01-18,디지털미디어시티,7930.0,8455.0
35,2015-01-18,올림픽공원,2933.0,2799.0
36,2015-01-19,디지털미디어시티,18047.0,19831.0
37,2015-01-19,올림픽공원,5435.0,5221.0
38,2015-01-20,디지털미디어시티,18198.0,20053.0
39,2015-01-20,올림픽공원,5447.0,5099.0
40,2015-01-21,디지털미디어시티,17889.0,19950.0
41,2015-01-21,올림픽공원,5827.0,5620.0
42,2015-01-22,디지털미디어시티,17742.0,19649.0
43,2015-01-22,올림픽공원,9843.0,9707.0
44,2015-01-23,디지털미디어시티,18505.0,20076.0
45,2015-01-23,올림픽공원,5672.0,5181.0
46,2015-01-24,디지털미디어시티,11605.0,11964.0
47,2015-01-24,올림픽공원,4082.0,3681.0
48,2015-01-25,디지털미디어시티,8084.0,8498.0
49,2015-01-25,올림픽공원,2766.0,2610.0
50,2015-01-26,디지털미디어시티,17526.0,19341.0
51,2015-01-26,올림픽공원,5151.0,4967.0
52,2015-01-27,디지털미디어시티,17738.0,19801.0
53,2015-01-27,올림픽공원,5586.0,5098.0
54,2015-01-28,디지털미디어시티,17470.0,19414.0
55,2015-01-28,올림픽공원,11706.0,11873.0
56,2015-01-29,디지털미디어시티,17501.0,19659.0
57,2015-01-29,올림픽공원,5304.0,4914.0
58,2015-01-30,디지털미디어시티,18101.0,19791.0
59,2015-01-30,올림픽공원,7842.0,7603.0
60,2015-01-31,디지털미디어시티,11134.0,11344.0
61,2015-01-31,올림픽공원,12368.0,12885.0
62,2015-02-01,디지털미디어시티,7760.0,8262.0
63,2015-02-01,올림픽공원,2923.0,2859.0
64,2015-02-02,디지털미디어시티,17695.0,19525.0
65,2015-02-02,올림픽공원,5264.0,5061.0
66,2015-02-03,디지털미디어시티,17694.0,19852.0
67,2015-02-03,올림픽공원,5307.0,5112.0
68,2015-02-04,디지털미디어시티,17944.0,19961.0
69,2015-02-04,올림픽공원,5803.0,5366.0
70,2015-02-05,디지털미디어시티,17769.0,19863.0
71,2015-02-05,올림픽공원,6670.0,6432.0
72,2015-02-06,디지털미디어시티,18448.0,19897.0
73,2015-02-06,올림픽공원,9671.0,9235.0
74,2015-02-07,디지털미디어시티,11653.0,12093.0
75,2015-02-07,올림픽공원,5688.0,5299.0
76,2015-02-08,디지털미디어시티,7386.0,7985.0
77,2015-02-08,올림픽공원,5376.0,5305.0
78,2015-02-09,디지털미디어시티,17524.0,19380.0
79,2015-02-09,올림픽공원,5461.0,5159.0
80,2015-02-10,디지털미디어시티,18099.0,19853.0
81,2015-02-10,올림픽공원,5787.0,5273.0
82,2015-02-11,디지털미디어시티,18128.0,19559.0
83,2015-02-11,올림픽공원,5814.0,5521.0
84,2015-02-12,디지털미디어시티,17687.0,19922.0
85,2015-02-12,올림픽공원,5416.0,5114.0
86,2015-02-13,디지털미디어시티,18541.0,19759.0
87,2015-02-13,올림픽공원,5805.0,5213.0
88,2015-02-14,디지털미디어시티,11355.0,11814.0
89,2015-02-14,올림픽공원,6613.0,9772.0
90,2015-02-15,디지털미디어시티,7893.0,8176.0
91,2015-02-15,올림픽공원,12491.0,13670.0
92,2015-02-16,디지털미디어시티,16743.0,18424.0
93,2015-02-16,올림픽공원,5127.0,4844.0
